"Set1","Set2"
0.31,0.3
0.3,0.29
0.26,0.25
0.37,0.33
0.56,0.53
0.31,0.28
0.6,0.6
0.52,0.52
0.6,0.58
0.34,0.3
0.61,0.61
0.33,0.34
0.36,0.37
0.31,0.3
0.44,0.44
0.36,0.36
0.66,0.7
1.43,0.49
0.44,0.5
1.13,1.1
0.48,0.48
0.31,0.31
0.51,0.5
0.33,0.35
2.09,0.95
0.47,0.47
0.49,0.52
0.42,0.42
0.45,0.45
0.49,0.49
0.35,0.36
0.24,0.28
1.46,1.06
1.48,1.33
0.4,0.38
1.24,1.23
1.28,1.28
1.26,1.26
1.29,1.3
1.8,1.2
1.23,1.22
1.56,1.41
1.23,1.22
1.27,1.27
1.26,1.25
1.39,1.39
1.37,1.31
1.25,1.23
1.18,1.18
1.3,1.19
1.59,1.4
1.32,1.32
1.38,1.16
1.35,1.28
1.99,1.31
1.32,1.13
1.2,1.2
1.37,1.35
1.34,1.34
1.78,1.31
1.36,1.24
1.33,1.34
1.18,1.18
1.16,1.16
1.41,1.32
1.23,1.22
1.24,1.24
6.15,1.2
1.37,1.38
1.21,1.21
0.2,0.2
0.23,0.23
0.32,0.33
0.24,0.24
0.35,0.35
0.24,0.27
0.86,0.86
1.05,1.05
0.42,0.42
0.89,0.89
1.09,1.09
0.27,0.27
0.88,0.88
1.02,1.01
0.91,0.91
0.2,0.19
1.09,0.98
1.1,1.11
1.22,1.21
1.23,1.24
1.14,1.14
0.51,0.51
0.99,1
0.75,0.75
0.48,0.47
0.91,0.91
0.93,0.93
0.98,0.98
0.9,0.89
1.05,1.05
0.2,0.2
0.23,0.23
1.38,1.38
0.78,0.78
0.91,0.91
0.23,0.24
0.3,0.3
0.26,0.26
0.27,0.27
0.51,0.52
0.27,0.27
0.63,0.63
0.46,0.45
0.52,0.52
0.25,0.24
1.7,0.84
0.3,0.3
0.2,0.2
0.28,0.29
0.32,0.35
0.22,0.23
0.26,0.28
0.45,0.45
0.55,0.56
0.77,0.77
0.47,0.48
0.25,0.25
0.42,0.43
0.31,0.3
0.38,0.38
0.36,0.36
0.34,0.34
0.23,0.24
0.35,0.35
0.46,0.46
0.31,0.31
0.27,0.27
0.51,0.5
0.64,0.65
0.19,0.19
4.57,1.36
4.2,1.23
4.77,4.55
1.37,1.32
1.4,1.26
4.82,1.53
4.73,2.7
6.36,1.14
4.7,4.5
4.22,1.4
3.89,3.1
4.92,2.43
4.15,1.26
4.83,1.38
4.11,4.12
4.65,1.35
6.3,2.33
4.52,1.55
2.4,1.81
1.85,1.72
4.2,1.74
1.46,1.48
6.33,4.39
4.84,4.16
5.94,2.66
6.23,1.33
4.14,4.15
4.87,1.06
6.22,1.16
6.27,1.26
5.02,1.41
4.83,4.53
4.14,2.56
4.08,2.28
4.32,3.7
8.76,1.4
1.73,1.42
8.71,4.92
8.73,1.46
8.45,3.45
1.85,1.3
8.8,5.23
8.83,1.47
8.69,1.78
1.71,1.49
2.29,1.52
1.7,1.5
8.78,1.14
8.27,1.38
8.76,1.78
8.87,3.27
9.38,1.89
1.5,1.34
1.6,1.33
1.49,1.37
1.48,1.45
1.37,1.42
8.35,1.28
8.75,1.42
8.65,3.82
8.65,1.28
8.77,1.4
8.6,1.46
8.63,1.52
8.83,1.48
8.83,1.42
1.7,1.23
8.55,1.53
2.57,1.41
2.03,1.57
6.35,1.2
6.35,1.27
6.3,1.21
6.35,1.29
6.41,1.23
6.35,0.94
5.45,0.67
6.3,1.39
6.2,1.49
6.34,1.22
5.36,1.35
6.32,1.28
6.35,1.22
6.33,1.25
6.32,1.22
6.33,1.52
6.56,1.06
6.37,1.21
6.37,1.02
6.34,1.24
6.42,1.17
6.37,1.27
6.31,1.26
6.28,1.49
6.37,1.47
6.32,1.39
6.34,1.1
6.35,1.25
6.33,1.17
6.33,1.34
6.4,1.25
6.36,1.3
6.21,1.38
3.44,0.77
6.43,0.9
4.76,1.5
3.34,1.32
4.76,0.88
1.99,0.92
2.6,1.46
1.52,1.53
8.4,1.48
1.43,1.36
1.48,1.46
4.64,1.28
3.29,0.99
4.69,1.27
1.56,1.51
3.05,2.16
1.36,1.36
3.38,0.81
4.59,1.62
2.05,1.33
1.54,1.35
1.5,1.49
1.52,1.37
3.28,1.41
2.01,1.76
1.3,1.2
1.57,1.53
1.3,1.21
1.48,1.04
1.09,1.08
1.3,1.43
3.62,0.83
1.14,1.1
1.52,1.36
3.18,1.6
3.23,3.22
3.08,2.18
5.96,1.46
5.9,1.58
5.88,1.72
5.9,1.55
5.84,1.27
5.9,0.78
5.99,1.07
5.86,0.74
5.81,0.7
5.92,1.65
5.29,1.34
5.92,0.81
5.87,1.46
5.22,1.53
5.82,1.39
5.83,4.33
5.83,1.3
5.91,1.33
5.9,1.35
6.01,1.17
5.92,1.29
5.85,1.6
5.84,0.73
5.78,0.6
5.85,4.41
5.82,1.4
5.83,0.62
5.68,1.34
5.84,1.68
5.88,0.78
5.88,1.68
5.94,0.79
